name_code	common_name
380312	黃頭扇尾鶯
380313	棕扇尾鶯
380315	灰頭鷦鶯
380316	褐頭鷦鶯
380317	花翅山椒
380318	黑翅山椒
380319	東方寒鴉
380321	巨嘴鴉
380323	灰樹鵲
380324	小卷尾
380326	大卷尾
380327	松鴉
380329	星鴉
380330	黃鸝
380332	灰山椒
380333	灰喉山椒
380334	喜鵲
380335	紫壽帶
380336	臺灣藍鵲
380339	黃雀
380340	酒紅朱雀
380341	錫嘴雀
380342	金鵐
380344	黃眉鵐
380346	黃喉鵐
380348	葦鵐
380349	小鵐
380350	田鵐
380351	銹鵐
380353	黑臉鵐
380354	白眉鵐
380355	小黃嘴雀
380356	黃嘴雀
380357	花雀
380359	灰頭灰雀
380360	褐灰雀
380361	東方毛腳燕
380362	家燕
380364	洋燕
380365	棕沙燕
380366	灰沙燕
380367	紅頭伯勞
380368	紅尾伯勞
380369	棕背伯勞
380371	虎紋伯勞
380372	小翼鶇
380375	小剪尾
380378	黃胸姬鶲
380379	斑眉姬鶲
380380	黃眉姬鶲
380382	白眉姬鶲
380383	紅喉歌鴝
380384	藍歌鴝
380386	藍磯鶇
380387	寬嘴鶲
380388	紅尾鶲
380389	灰斑鶲
380392	黃腹仙鶲
380393	黃尾鴝
380401	烏灰鶇
380402	赤胸鶇
380403	灰背鶇
380405	紅尾鶇
380406	白眉鶇
380407	白腹鶇
380408	白頭鶇
380410	白眉地鶇
380411	綠啄花
380414	黃山雀
380416	青背山雀
380419	赤喉鷚
380420	白背鷚
380421	樹鷚
380422	大花鷚
380423	黃腹鷚
380424	山鶺鴒
380426	斑文鳥
380427	白腰文鳥
380428	白鶺鴒
380431	黃鶺鴒
380432	日本鶺鴒
380434	山麻雀
380435	岩鷚
380436	仙八色鶇
380437	紅嘴黑鵯
380439	白頭翁
380440	烏頭翁
380441	白環鸚嘴鵯
380442	臺灣戴菊
380445	八哥
380446	灰椋鳥
380447	紫背椋鳥
380448	絲光椋鳥
380449	灰背椋鳥
380450	北椋鳥
380452	棕面鶯
380454	雙眉葦鶯
380455	臺灣斑翅鶥
380456	烏線雀鶥
380457	紋喉雀鶥
380458	繡眼雀鶥
380459	臺灣短翅鶯
380460	黃腹樹鶯
380462	強腳樹鶯
380463	白喉噪鶥
380465	臺灣噪鶥
380466	棕噪鶥
380467	白耳奇鶥
380468	黃痣藪鶥
380470	蒼眉蝗鶯
380471	茅斑蝗鶯
380472	北蝗鶯
380473	黃羽鴉雀
380474	棕頭鴉雀
380475	極北柳鶯
380477	褐色柳鶯
380478	黃眉柳鶯
380480	淡腳柳鶯
380484	紅頭穗鶥
380485	短尾鶯
380486	冠羽鳳鶥
380488	綠繡眼
380491	小啄木
380492	大赤啄木
380494	綠啄木
380495	南亞夜鷹
380497	短耳鴞
380498	長耳鴞
380499	領鵂鶹
380500	黃魚鴞
380501	褐鷹鴞
380502	領角鴞
380503	優雅角鴞
380505	黃嘴角鴞
380506	灰林鴞
380507	褐林鴞
380509	棕三趾鶉
380511	戴勝
380520	水獺
380529	鰮鯨
380530	鯷鯨
380531	長鬚鯨
380535	短肢領航鯨
380536	瑞氏海豚
380537	弗氏海豚
380538	虎鯨
380540	偽虎鯨
380541	中華白海豚
380542	熱帶斑海豚
380544	長吻飛旋海豚
380546	印太瓶鼻海豚
380547	瓶鼻海豚
380551	江豚
380554	柏氏中喙鯨
380555	銀杏齒中喙鯨
380556	柯氏喙鯨
380560	臺灣狐蝠
380562	臺灣小蹄鼻蝠
380563	黃頸蝠
380566	毛翼大管鼻蝠
380567	摺翅蝠
380568	臺灣管鼻蝠
380574	夜蝠
380576	臺灣長耳蝠
380577	高頭蝠
380578	霜毛蝠
380580	水鼩
380586	臭鼩
380590	臺灣獼猴
380591	赤背條鼠
380592	臺灣森鼠
380593	鬼鼠
380595	巢鼠
380597	田鼷鼠
380600	高山白腹鼠
380601	小黃腹鼠
380605	赤腹松鼠
380608	大赤鼯鼠
380610	金龜
380612	柴棺龜
380613	斑龜
380616	玳瑁
380617	欖蠵龜
380618	革龜
380620	鱉
380992	臺東間爬岩鰍
380993	埔里中華爬岩鰍
381029	高身鏟頜魚
381097	寬海蛾魚
381098	短海蛾魚
381099	飛海蛾魚
381107	黑環海龍
381117	刺海馬
381118	庫達海馬
381119	棘海馬
381120	三斑海馬
381126	哈氏柄頜海龍
381127	棘海龍
381657	黑塘鱧
381767	雷氏鯊
381835	拜庫雷鰕虎
381907	湯鯉
381941	曲紋唇魚
381949	邵氏豬齒魚
382500	長鰭鮪
382501	黃鰭鮪
382502	短鮪
382513	橫紋九刺鮨
382524	駝背鱸
382526	赤點石斑魚
382535	點帶石斑魚
382541	棕點石斑魚
382543	鞍帶石斑魚
382586	懷特氏棘花鱸
382589	花斑刺鰓鮨
382692	劍旗魚
382788	臺灣櫻花鉤吻鮭
383032	克氏兔頭魨
383037	圓魨
383040	黑點多紀魨
383043	網紋多紀魨
383047	黃鰭多紀魨
383068	黑印白眼鮫
383069	短尾白眼鮫
383070	薔薇白眼鮫
383071	杜氏白眼鮫
383072	平滑白眼鮫
383073	公牛白眼鮫
383074	黑邊鰭白眼鮫
383075	污斑白眼鮫
383076	槍頭白眼鮫
383077	污翅白眼鮫
383078	灰色白眼鮫
383079	高鰭白眼鮫
383081	鼬鮫
383082	恆河白眼鮫
383083	廣鼻曲齒鮫
