name_code	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	scientificName	taxonRank
202887	Plantae	Magnoliophyta	Magnoliopsida	Ebenales	Symplocaceae	Symplocos	trichoclada		Hayata, 1915	Symplocos trichoclada  Hayata, 1915	species
202900	Plantae	Magnoliophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron	kanehirai		Wilson, 1921	Rhododendron kanehirai  Wilson, 1921	species
202941	Plantae	Magnoliophyta	Magnoliopsida	Euphorbiales	Euphorbiaceae	Acalypha	hontauyuensis		Keng, 1951	Acalypha hontauyuensis  Keng, 1951	species
202946	Plantae	Magnoliophyta	Magnoliopsida	Euphorbiales	Euphorbiaceae	Acalypha	suirenbiensis		Yamamoto, 1933	Acalypha suirenbiensis  Yamamoto, 1933	species
203143	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Gleditsia	rolfei		Vidal, 1886	Gleditsia rolfei  Vidal, 1886	species
203179	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Maackia	taiwanensis		Hoshi & Ohashi, 1987	Maackia taiwanensis  Hoshi & Ohashi, 1987	species
203271	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	kawakamii		Hayata, 1911	Castanopsis kawakamii  Hayata, 1911	species
203289	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Cyclobalanopsis	repandifolia		(Liao) Liao, 1971	Cyclobalanopsis repandifolia  (Liao) Liao, 1971	species
203293	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	hayatae		Palib. ex Hayata, 1911	Fagus hayatae  Palib. ex Hayata, 1911	species
203301	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Pasania	formosana		(Skan ex Forbes & Hemsl.) Schottky, 1912	Pasania formosana  (Skan ex Forbes & Hemsl.) Schottky, 1912	species
203317	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	dentata		Thunb. ex Murray, 1784	Quercus dentata  Thunb. ex Murray, 1784	species
203328	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alyxia	taiwanensis		S. Y. Lu & Yuen P. Yang, 1978	Alyxia taiwanensis  S. Y. Lu & Yuen P. Yang, 1978	species
203334	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Holarrhena	pubescens		Wall. ex G. Don, 1837	Holarrhena pubescens  Wall. ex G. Don, 1837	species
203424	Plantae	Magnoliophyta	Magnoliopsida	Hamamelidales	Hamamelidaceae	Corylopsis	pauciflora		Sieb. & Zucc., 1835	Corylopsis pauciflora  Sieb. & Zucc., 1835	species
203427	Plantae	Magnoliophyta	Magnoliopsida	Hamamelidales	Hamamelidaceae	Distylium	gracile		Nakai, 1924	Distylium gracile  Nakai, 1924	species
203589	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	brevipedunculatum		C. E. Chang, 1970	Cinnamomum brevipedunculatum  C. E. Chang, 1970	species
203596	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	kotoense		Kanehira & Sasaki, 1930	Cinnamomum kotoense  Kanehira & Sasaki, 1930	species
203597	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	macrostemon		Hayata, 1913	Cinnamomum macrostemon  Hayata, 1913	species
203598	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	micranthum		(Hayata) Hayata, 1913	Cinnamomum micranthum  (Hayata) Hayata, 1913	species
203599	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	osmophloeum		Kanehira, 1917	Cinnamomum osmophloeum  Kanehira, 1917	species
203600	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	reticulatum		Hayata, 1911	Cinnamomum reticulatum  Hayata, 1911	species
203606	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Cryptocarya	elliptifolia		Merr., 1919	Cryptocarya elliptifolia  Merr., 1919	species
203648	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Neolitsea	daibuensis		Kamikoti, 1932	Neolitsea daibuensis  Kamikoti, 1932	species
203657	Plantae	Magnoliophyta	Magnoliopsida	Laurales	Lauraceae	Sassafras	randaiense		(Hayata) Rehder, 1920	Sassafras randaiense  (Hayata) Rehder, 1920	species
203658	Plantae	Magnoliophyta	Magnoliopsida	Lecythidales	Lecythidaceae	Barringtonia	asiatica		(L.) Kurz, 1876	Barringtonia asiatica  (L.) Kurz, 1876	species
