name_code	kingdom	phylum	class	order	family	genus	specificEpithet	scientificName	infraspecies	scientificNameAuthorship	rank	iucn_code
383165	Animalia	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Manta	birostris	Manta birostris		(Walbaum, 1792)	species	DD
383167	Animalia	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Mobula	japanica	Mobula japanica		(Müller & Henle, 1841)	species	NT
383168	Animalia	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Mobula	diabolus	Mobula diabolus		(Bonnaterre, 1788)	species	VU
383189	Animalia	Chordata	Chondrichthyes	Rajiformes	Rhinidae	Rhina	ancylostoma	Rhina ancylostoma		Bloch & Schneider, 1801	species	VU
383194	Animalia	Chordata	Chondrichthyes	Rajiformes	Rhynchobatidae	Rhynchobatus	djiddensis	Rhynchobatus djiddensis		(Forsskål, 1775)	species	VU
383201	Animalia	Chordata	Chondrichthyes	Squaliformes	Centrophoridae	Centrophorus	moluccensis	Centrophorus moluccensis		Bleeker, 1860	species	DD
383202	Animalia	Chordata	Chondrichthyes	Squaliformes	Centrophoridae	Centrophorus	niaukang	Centrophorus niaukang		Teng, 1959	species	NT
383203	Animalia	Chordata	Chondrichthyes	Squaliformes	Centrophoridae	Centrophorus	squamosus	Centrophorus squamosus		(Bonnaterre, 1788)	species	VU
383205	Animalia	Chordata	Chondrichthyes	Squaliformes	Centrophoridae	Deania	calcea	Deania calcea		(Lowe, 1839)	species	LC
383206	Animalia	Chordata	Chondrichthyes	Squaliformes	Etmopteridae	Centroscyllium	kamoharai	Centroscyllium kamoharai		Abe, 1966	species	DD
383207	Animalia	Chordata	Chondrichthyes	Squaliformes	Dalatiidae	Dalatias	licha	Dalatias licha		(Bonnaterre, 1788)	species	LR/nt
383213	Animalia	Chordata	Chondrichthyes	Squaliformes	Dalatiidae	Isistius	brasiliensis	Isistius brasiliensis		(Quoy & Gaimard, 1824)	species	LC
383215	Animalia	Chordata	Chondrichthyes	Squaliformes	Dalatiidae	Squaliolus	aliae	Squaliolus aliae		Teng, 1959	species	LC
383216	Animalia	Chordata	Chondrichthyes	Echinorhiniformes	Echinorhinidae	Echinorhinus	cookei	Echinorhinus cookei		Pietschmann, 1928	species	NT
383313	Animalia	Chordata	Chondrichthyes	Carcharhiniformes	Scyliorhinidae	Cephaloscyllium	fasciatum	Cephaloscyllium fasciatum		Chan, 1966	species	DD
383325	Animalia	Chordata	Chondrichthyes	Orectolobiformes	Hemiscylliidae	Chiloscyllium	griseum	Chiloscyllium griseum		Müller & Henle, 1838	species	NT
383568	Animalia	Chordata	Actinopterygii	Tetraodontiformes	Tetraodontidae	Torquigener	brevipinnis	Torquigener brevipinnis		(Regan, 1903)	species	DD
