name_code	common_name	type_id
202262	臺灣芭蕉	1
202263	蘭嶼芭蕉	1
202269	屈尺月桃	1
202270	角板山月桃	1
202271	普來氏月桃	1
202272	阿里山月桃	1
202273	川上氏月桃	1
202274	島田氏月桃	1
202275	屯鹿月桃	1
202276	烏來月桃	1
202280	蘭嶼法氏薑	1
202281	三奈	1
202283	少葉薑	1
202288	食用土當歸	1
202294	臺灣八角金盤	1
202295	臺灣常春藤	1
202297	臺灣五葉參	1
202301	臺灣鵝掌柴	1
202302	華參	1
202304	野當歸	1
202305	濱當歸	1
202306	森氏當歸	1
202307	玉山當歸	1
202308	南湖當歸	1
202309	太魯閣當歸	1
202311	高氏柴胡	1
202313	臺灣芎窮	1
202314	玉山彎柱芎	1
202321	基隆天胡荽	1
202323	阿里山天胡荽	1
202326	翼莖水芹菜	1
202327	山薰香	1
202328	南湖山薰香	1
202329	臺灣山薰香	1
202331	臺灣前胡	1
202334	玉山茴香	1
202336	五葉山芹菜	1
202340	瓜葉馬兜鈴	1
202346	鴛鴦湖細辛	1
202348	下花細辛	1
202349	大花細辛	1
202350	太平山細辛	1
202361	中原氏鬼督郵	1
202363	蓬萊籟簫	1
202374	山艾	1
202376	細葉山艾	1
202377	玉山艾	1
202378	高山艾	1
202382	雪山艾	1
202385	清水馬蘭	1
202386	臺灣山白蘭	1
202389	大武山紫菀	1
202391	玉山鐵桿蒿	1
202392	臺灣狗娃花	1
202393	臺灣紺菊	1
202397	臺灣馬蘭	1
202398	雪山馬蘭	1
202399	桃園馬蘭	1
202414	狹葉艾納香	1
202428	阿里山薊	1
202430	鱗毛薊	1
202432	南國小薊	1
202433	白花小薊	1
202434	玉山薊	1
202436	森氏薊	1
202437	鈴木氏薊	1
202449	臺灣假黃鵪菜	1
202451	阿里山油菊	1
202452	蓬萊油菊	1
202455	森氏菊	1
202468	福山氏飛蓬	1
202469	玉山飛蓬	1
202470	腺葉澤蘭	1
202471	塔山澤蘭	1
202472	田代氏澤蘭	1
202473	高士佛澤蘭	1
202475	花蓮澤蘭	1
202476	基隆澤蘭	1
202477	林氏澤蘭	1
202500	白鳳菜	1
202501	蘭嶼木耳菜	1
202504	森氏山柳菊	1
202507	能高刀傷草	1
202518	臺灣稻槎草	1
202519	玉山薄雪草	1
202522	高山橐吾	1
202527	臺灣劉寄奴	1
202528	臺灣福王草	1
202532	能高蟹甲草	1
202534	半高野帚	1
202535	臺灣款冬	1
202536	玉山毛連菜	1
202537	高山毛連菜	1
202543	恆春山苦藚	1
202548	高山青木香	1
202550	關山青木香	1
202551	奇萊青木香	1
202552	小蔓黃菀	1
202554	玉山黃菀	1
202555	黃菀	1
202558	臺東黃菀	1
202559	太魯閣千里光	1
202571	臺灣破傘菊	1
202572	高山破傘菊	1
202576	臺灣狗舌草	1
202598	玉山沙參	1
202599	高山沙參	1
202603	玉山山奶草	1
202626	魚木	1
202627	臺灣筷子芥	1
202632	高山山芥	1
202634	臺灣山芥菜	1
202636	阿玉碎米薺	1
202640	腎葉碎米薺	1
202641	臺灣碎米薺	1
202642	臺灣假山葵	1
202645	臺灣山薺	1
202679	臺東青葙	1
202688	亞毛無心菜	1
202689	高山無心菜	1
202690	臺灣卷耳	1
202692	小瓣卷耳	1
202693	玉山卷耳	1
202695	巴陵石竹	1
202696	玉山石竹	1
202697	白花玉山石竹	1
202698	長萼瞿麥	1
202699	臺灣瞿麥	1
202705	蠅子草	1
202706	蠅子草	1
202707	基隆蠅子草	1
202708	南湖大山蠅子草	1
202709	臺灣蠅子草	1
202710	玉山蠅子草	1
202711	高山蠅子草	1
202715	阿里山繁縷	1
202716	繁縷	1
202717	小花繁縷	1
202718	賽繁縷	1
202719	網脈繁縷	1
202727	臺灣藜	1
202746	阿里山冬青	1
202754	早田氏冬青	1
202757	忍冬葉冬青	1
202758	松田氏冬青	1
202763	拉拉山冬青	1
202766	鈴木冬青	1
202767	雪山冬青	1
202769	雲南冬青	1
202774	厚葉衛矛	1
202780	淡綠葉衛矛	1
202781	刺果衛矛	1
202783	卵葉刺果衛矛	1
202788	佩羅特木	1
202801	奧氏虎皮楠	1
202802	耿氏虎皮楠	1
202803	蘭嶼虎皮楠	1
202809	臺灣糯米條	1
202811	無梗忍冬	1
202814	川上氏忍冬	1
202816	追分忍冬	1
202818	著生珊瑚樹	1
202823	玉山糯米樹	1
202827	小葉莢蒾	1
