name_code	common_name
120319	尤氏直鏈藻
120320	串珠直鏈藻
120321	擬貨幣直鏈藻
120329	直縫藻屬
120330	中肋骨條藻
120331	曼氏骨條藻
120333	江河骨條藻
120335	熱帶骨條藻
120341	孟氏小環藻
120351	柱狀小環藻
120356	棱角海鏈藻
120365	對稱海鏈藻
120366	威氏海鏈藻
120367	尖根管藻
120371	伯氏根管藻
120372	距端根管藻
120373	卡氏根管藻
120374	克萊根管藻
120375	厚刺根管藻
120376	圓柱根管藻
120377	柔弱根管藻
120378	脆根管藻
120380	透明根管藻
120381	覆瓦根管藻
120384	粗根管藻
120385	剛毛根管藻
120386	中華根管藻
120393	孟加拉曲殼藻
120394	雙面曲殼藻
120401	檸檬曲殼藻
120405	波緣曲殼藻
120408	優美曲殼藻
120409	微小曲殼藻
120412	豪克曲殼藻
120414	膨脹曲殼藻
120421	微形曲殼藻
120422	極小曲殼藻
120427	東方曲殼藻
120427	美麗曲殼藻
120428	放射曲殼藻
120437	偏縫藻
120438	鞍形藻
120440	中肋卵形藻
120442	似盤裂卵形藻
120444	似盤卵形藻
120447	河口卵形藻
120469	近岸卵形藻
120470	細條卵形藻
120479	乳頭弧眼藻
120481	冰河星杆藻
120482	日本星杆藻
120483	加拉星杆藻
120485	延長梯楔藻
120486	串珠梯楔藻
120488	駝峰波紋藻
120489	洛氏波紋藻
120490	延長等片藻
120500	短紋脆杆藻
120502	連結脆杆藻
120503	克羅脆杆藻
120507	柱狀脆杆藻
120508	霍氏脆杆藻
120509	透明脆杆藻
120512	大洋脆杆藻
120513	羽狀脆杆藻
120515	條紋脆杆藻
120518	達氏小脆杆藻
120519	有角斑條藻
120520	小鉤斑條藻
120521	海生斑條藻
120525	短紋楔形藻
120528	奇異楔形藻
120529	細弱楔形藻
120530	多形微眼藻
120531	馬氏槌棒藻
120532	太平洋槌棒藻
120535	美麗斜斑藻
120537	具橫區斜斑藻
120538	範氏斜斑藻
120545	亞得裏亞杆線藻
120548	似菱形縫舟藻
120549	優美條紋藻
120554	透明針杆藻
120557	背腹針杆藻
120560	華麗針杆藻
120561	光輝針杆藻
120562	伽氏針杆藻
120564	亨尼針杆藻
120565	平滑針杆藻
120567	寄生針杆藻
120569	粗針杆藻
120584	波邊針杆藻
120645	膨脹橋彎藻
120651	偏腫橋彎藻
120655	複雜耳形藻
120704	圓端異極藻
120726	橙紅雙肋藻原變種
120727	翼繭形藻
120728	巨大繭形藻
120735	沙生雙眉藻
120736	雙凸雙眉藻
120740	變異雙眉藻
120746	似橋彎雙眉藻
120748	叉紋雙眉藻
120749	簡單雙眉藻
120751	爪哇雙眉藻
120757	眼紋雙眉藻
120771	波彎雙眉藻
120773	美麗雙眉藻
120775	截端雙眉藻
120777	中肋異菱藻
120781	相似美壁藻
120790	極似美壁藻
120793	美麗美壁藻
120795	離生美壁藻
120796	線形美壁藻
120797	蛇頭美壁藻
120798	俄勒崗美壁藻
120799	大美壁藻
120801	扁頭美壁藻
120802	粗壯美壁藻
120803	薩摩亞美壁藻
120804	短角美壁藻
120809	洛氏箱形藻
120810	具邊網形藻
120813	北方雙壁藻
120814	查爾雙壁藻
120815	咖啡形雙壁藻
120819	短肋雙壁藻
120820	德氏雙壁藻
120823	橢圓雙壁藻
120826	戈氏雙壁藻
120828	賓客雙壁藻
120829	內彎雙壁藻
120831	海濱雙壁藻
120833	特殊雙壁藻
120834	新西蘭雙壁藻
120838	膿泡雙壁藻
120840	幼小雙壁藻
120842	施氏雙壁藻
120843	細齒雙壁藻
120853	威氏雙壁藻
120857	長端節肋縫藻
120872	緊密佈紋藻
120873	扭布紋藻
120874	簇生布紋藻薄喙變種
120877	格氏布紋藻
120879	長尾布紋藻
120882	斜布紋藻
120886	直形布紋藻
120887	刀形布紋藻
120888	影伸布紋藻
120890	斯氏布紋藻
120894	柔弱布紋藻
120895	特裏布紋藻
120896	萬斯布紋藻
120897	澳立布紋藻
120899	廈門胸隔藻
120900	細尖胸隔藻
120905	柑桔胸隔藻
120906	考錫胸隔藻
120907	篩胸隔藻
120908	十字胸隔藻
120909	圓圈胸隔藻
120910	叉紋胸隔藻
120913	假胸隔藻
120914	束紋胸隔藻
120915	睫毛胸隔藻
120916	模仿胸隔藻
120917	不等胸隔藻
120919	磚胸隔藻
120920	勒蒙斯胸隔藻
120922	馬諾胸隔藻
120923	新皺胸隔藻
120924	魚形胸隔藻
120927	五肋胸隔藻
120928	長喙胸隔藻
120934	光亮胸隔藻
120935	變異胸隔藻
120936	截形舟形藻
120939	最初舟形藻
120946	不對稱舟形藻
120947	微小舟形藻
120952	巴西舟形藻
120958	龍骨舟形藻
120960	系帶舟形藻
120966	盔狀舟形藻
120968	隱頭舟形藻
120979	遠距舟形藻
120983	依塔舟形藻
120987	法蘭舟形藻
120992	福得舟形藻
120993	福建舟形藻
120995	曲膝舟形藻
120997	冰河舟形藻
120999	顆粒舟形藻
121000	群生舟形藻
121018	扁平舟形藻
121021	吸入舟形藻
121022	可疑舟形藻
121026	空虛舟形藻
121036	長舟形藻
121037	洛氏舟形藻
121038	壯麗舟形藻
121044	似琴狀舟形藻
121045	海洋舟形藻
121048	膜狀舟形藻
121052	柔軟舟形藻
121053	串珠舟形藻
121056	端舟形藻
121064	貨幣舟形藻
121067	潘土舟形藻
121069	帕維舟形藻
121071	混亂舟形藻
121072	似菱舟形藻
121075	羽狀舟形藻
121079	極地舟形藻
121080	安織舟形藻
121088	侏儒舟形藻
121093	來那舟形藻
121104	飽滿舟形藻
121108	閃光舟形藻
121109	岩石舟形藻
121110	盾形舟形藻
121123	塔科舟形藻
121126	柔弱舟形藻
121128	滔拉舟形藻
121131	舟行藻
121141	細紋長蓖藻
121146	雙喙長蓖藻
121153	彩虹長蓖藻
121158	苔蘚奧斯藻
121193	大羽紋藻
121212	特裏羽紋藻
121218	艾希斜紋藻
121225	優美斜紋藻
121226	柔弱斜紋藻
121228	異紋斜紋藻
121231	鐮刀斜紋藻
121232	飛馬斜紋藻
121233	美麗斜紋藻
121237	大斜紋藻
121238	海生斜紋藻
121239	舟形斜紋藻
121242	海洋斜紋藻
121243	菱形斜紋藻
121244	堅實斜紋藻
121246	端嘴斜紋藻
121249	燦爛斜紋藻
121250	粗毛斜紋藻
121251	塔希提斜紋藻
121252	棍形叉縫藻
121253	腫脹旋軸藻
121258	縊縮輻節藻
121261	紫心輻節藻
121269	安蒂粗紋藻
121280	布氏粗紋藻
121282	德氏粗紋藻
121283	美麗粗紋藻
121285	小形粗紋藻
121286	橄欖粗紋藻
121287	帆狀粗紋藻
121288	帆狀粗紋藻
121289	似帆狀粗紋藻
121290	縊縮龍骨藻
121291	鱗翅龍骨藻
121293	長龍骨藻
121294	大龍骨藻
121295	細龍骨藻
121296	三角褐指藻
121308	單齒短縫藻
121347	柔弱海毛藻
121348	优恩海毛藻
121349	長海毛藻
121350	地中海海毛藻
121356	優美細齒藻
121358	細弱細齒藻
121360	溫帶細齒藻
121368	扭轉棒杆藻
121369	隆凸棒杆藻
121371	駝峰棒杆藻
121373	肌狀棒杆藻
121375	奇異棍形藻
121377	亞德里亞海馬鞍藻
121380	雙角馬鞍藻
121381	雙喙馬鞍藻
121382	布氏馬鞍藻
121384	優美馬鞍藻
121385	尖頂馬鞍藻
121386	霍氏馬鞍藻
121387	不定馬鞍藻
121388	寬型馬鞍藻
121389	辣氏馬鞍藻
121391	威氏馬鞍藻
121392	威氏馬鞍藻
121393	新月筒柱藻
121395	筒柱藻
121396	中國楔菱藻
121397	雙尖菱板藻
121398	雙尖菱板藻
121399	顯點菱板藻
121400	海洋菱板藻
121402	直菱板藻
121404	針狀菱形藻
121405	尖錐菱形藻
121408	兩棲菱形藻
121409	有棱菱形藻
121411	端尖菱形藻
121413	縮短菱形藻
121415	新月菱形藻
121416	密聚菱形藻
121417	卵形菱形藻
121419	縊縮菱形藻
121422	胖菱形藻
121423	活動菱形藻
121425	柔弱擬菱形藻
121426	齒菱形藻
121427	二裂菱形藻
121428	分散菱形藻
121432	簇生菱形藻
121433	絲狀菱形藻
121434	流水菱形藻
121437	碎片菱形藻
121443	顆粒菱形藻
121444	匈牙利菱形藻
121445	雜菱形藻
121448	標熾菱形藻
121449	標熾菱形藻
